"speaker","tokenWord","sound","tokenNorm","word","soundSurround","gender","duration","tokenSoundNorm","meanIntensity","meanPulses","maxPulse","StDevPulses","maxPoint","maxPulseNorm","skewness","centerGravity","skewnessNorm"
"F 1971","belˀora_1","lˀ","word","belˀora","elˀo","F",0.0901999999999994,"lˀ | word",63.788408,0.00695714285714263,0.0118000000000009,0.00265292705855729,0.672949002217307,0.130820399113093,-0.00737657579121735,0.500000000000006,"Left-skewed"
"F 1971","belˀora_2","lˀ","word","belˀora","elˀo","F",0.0852000000000004,"lˀ | word",66.92949,0.00722307692307703,0.0123999999999995,0.00280569475833047,0.615023474178385,0.14553990610328,-0.0120267629082261,0.500000000000006,"Left-skewed"
"F 1971","belˀora_3","lˀ","word","belˀora","elˀo","F",0.0695000000000014,"lˀ | word",61.564552,0.00682727272727296,0.0106999999999999,0.00341909078823285,0.743165467625915,0.15395683453237,-0.0130228922825381,0.500000000000003,"Left-skewed"
"F 1971","belˀora_cf","lˀ","cf","belˀora","elˀo","F",0.0619999999999976,"lˀ | cf",63.883645,0.00636363636363607,0.00860000000000127,0.00304245714095477,0.696774193548395,0.138709677419381,0.000890843215080879,0.500000000000004,"Right-skewed"
"F 1971","ila_1","l","word","ila","ila","F",0.121,"l | word",68.707264,0.00527083333333334,0.00609999999999999,0.00149767331628732,0.112809917355373,0.0504132231404958,-0.000229213691465731,0.5,"Left-skewed"
"F 1971","ila_2","l","word","ila","ila","F",0.112,"l | word",69.188383,0.0053454545454545,0.00620000000000021,0.00170649383594593,0.971428571428571,0.0553571428571449,-0.000271634866731988,0.5,"Left-skewed"
"F 1971","ila_3","l","word","ila","ila","F",0.0991,"l | word",69.927979,0.00503999999999998,0.00649999999999995,0.00216610249065006,0.896569122098889,0.0655903128153376,-0.000873585362831007,0.5,"Left-skewed"
"F 1971","ila_cf","l","cf","ila","ila","F",0.0889999999999995,"l | cf",70.916,0.0051388888888888,0.00630000000000042,0.00186646532527621,0.0544943820224749,0.0707865168539376,0.00022132359006579,0.5,"Right-skewed"
"F 1971","lˀala_1","l","word","lˀala","ala","F",0.0884,"l | word",68.126245,0.00568823529411756,0.00619999999999976,0.00107986246401042,0.067873303167343,0.0701357466063321,-0.000313578532413338,0.499999999999998,"Left-skewed"
"F 1971","lˀala_2","l","word","lˀala","ala","F",0.105000000000004,"l | word",67.979154,0.00613684210526344,0.0063999999999993,0.000281287765492992,0.729523809523909,0.0609523809523719,-0.000493410150324915,0.50000000000002,"Left-skewed"
